Id,userId,paintingId,mode,IBI_RMSSD,IBI_SDSD,IBI_Mean,IBI_RRstd,IBI_Median,IBI_Min,IBI_Max,IBI_VLF_Pow,IBI_LF_Pow,IBI_HF_Pow,IBI_Total_Pow
01_0_B,01,0,Baseline,0.028153490860264915,0.028068863247099063,0.93240625,0.032851806813895164,0.9280000000000044,0.8470000000000013,1.0060000000000002,0.00034953986909111543,0.0008255572328142559,0.0008492029452396618,0.0020692178951728615
01_01_NB,01,01,Stress,0.03300745836462226,0.033071200702213664,0.918409090909091,0.028985355378988664,0.9230000000000018,0.7940000000000005,0.9600000000000009,0.0004964575921152872,0.0006275392984303629,0.0011905611347829193,0.0023839925621020326
01_02_NB,01,02,Stress,0.03382524292334828,0.03357712361733464,0.8799275362318841,0.04678235727174144,0.8810000000000002,0.7210000000000001,0.958000000000002,0.0010816427817297242,0.0006717427393677697,0.0005415147344585746,0.002347230568277566
01_03_NB,01,03,Stress,0.025481516679893883,0.025314368717085412,0.9130454545454545,0.02768898250326514,0.9165000000000028,0.8300000000000054,0.9610000000000003,0.0007608281277870266,0.00017774127958195942,0.00044677717900883183,0.0013946088640139098
01_04_NB,01,04,Stress,0.0343652462417157,0.03412213459331311,0.8782647058823528,0.03550253414611207,0.8780000000000001,0.7580000000000027,0.9909999999999997,0.0003847806910781811,0.0014462182596042623,0.0009220234053428748,0.002837022724449712
01_05_NB,01,05,Stress,0.044225358709016394,0.04393601541964949,0.8591884057971014,0.06592535861906787,0.8659999999999997,0.6559999999999988,1.0769999999999982,0.0004399071997216961,0.0036706327840294864,0.0008382204528605368,0.005013430891511984
02_0_B,02,0,Baseline,0.024754246651286057,0.02507159298189182,0.8221348314606742,0.0418523866692858,0.820999999999998,0.6939999999999884,0.9130000000000003,0.00027127034198116376,0.0009139279305695203,0.00024126440674365033,0.0014555310830977521
02_01_NB,02,01,Stress,0.022699948705511314,0.022649587963492066,0.8139864864864864,0.03301371264778244,0.8150000000000013,0.7270000000000039,0.9089999999999998,0.00022785848124618423,0.0006786193125005554,0.0003399363074325046,0.0012911414506402066
02_02_NB,02,02,Stress,0.022926513036220734,0.022775125112458956,0.8276164383561644,0.031913680725539545,0.8179999999999996,0.7600000000000016,0.909000000000006,0.0007508313884434979,0.000683091505037965,0.0003726312548674867,0.0018472874663536584
02_03_NB,02,03,Stress,0.02092746769462472,0.020969267748770403,0.8109324324324323,0.024499493144829094,0.8125,0.7439999999999998,0.859,0.00014805453351840662,0.0009129422355969899,0.0002848654540230325,0.0013830400431990356
02_04_NB,02,04,Stress,0.022682286284920805,0.022635078567572384,0.8165753424657534,0.027737970517764235,0.8189999999999995,0.7520000000000024,0.8769999999999989,9.873468350907826e-05,0.000876188512125115,0.00038512638062056324,0.001407914870600219
02_05_NB,02,05,Stress,0.021964344570973092,0.021824373734173723,0.7973466666666666,0.034039778038184754,0.8029999999999973,0.7079999999999984,0.8689999999999998,0.0008680685542509853,0.0017393919231876408,0.00018702087652883994,0.0028366322330892015
03_0_B,03,0,Baseline,0.06495217175264044,0.06502916100835644,0.8827121212121212,0.06613181628991774,0.8974999999999982,0.730000000000004,1.0380000000000003,0.0009138570824245095,0.0020730792387271685,0.007144526152905745,0.010340937720455001
03_01_NB,03,01,Stress,0.04105793008894186,0.041028263031073736,0.8520285714285714,0.03973122968453052,0.8464999999999998,0.7509999999999977,0.9510000000000005,0.00043139914822129,0.0013253190975492531,0.001920988857840988,0.003721004720285191
03_02_NB,03,02,Stress,0.048753149285122234,0.049607169083609313,0.8532857142857143,0.04677060824832613,0.8570000000000011,0.758,0.9390000000000001,0.0009912203448653348,0.0007907467310898872,0.001807087278965936,0.0037296431538434266
03_03_NB,03,03,Stress,0.044743714642394024,0.04458777221019804,0.8458028169014086,0.046499013988731124,0.8449999999999989,0.7560000000000002,0.9720000000000013,0.0003670242628785574,0.0020180349329144602,0.0022738895082257296,0.004721800684645506
03_04_NB,03,04,Stress,0.04632934761794355,0.04638341409809209,0.8328472222222222,0.04428181835390696,0.8324999999999996,0.7309999999999999,0.9370000000000012,0.00018533598361328814,0.0014131796270336976,0.001703215817550576,0.003374024293059247
03_05_NB,03,05,Stress,0.037338541303412756,0.03765310647339761,0.7991095890410959,0.03608914443993447,0.7950000000000017,0.7289999999999992,0.8679999999999999,0.0005465789713071259,0.0003592635473034765,0.0014188372675751453,0.0023738088924379576
04_0_B,04,0,Baseline,0.0296606735519541,0.029586454503059724,0.7207252747252747,0.06142878766990987,0.7049999999999983,0.6219999999999999,0.9220000000000041,0.001426563692990486,0.0015649575618368466,0.0007687576676157007,0.0038337731384751354
04_01_NB,04,01,Stress,0.024623836689949552,0.02446529282056521,0.7611012658227848,0.04631963657645535,0.7599999999999998,0.6779999999999973,0.884999999999998,0.0014351866329591248,0.0020947799948756746,0.00047962025824189417,0.004076666847334105
04_02_NB,04,02,Stress,0.02813434158587348,0.028131723401647518,0.6990697674418604,0.05102662111816363,0.6844999999999981,0.602999999999998,0.8170000000000002,0.00012652786339210497,0.004998560038729992,0.0003910291731361966,0.00557234335219595
04_03_NB,04,03,Stress,0.03501149636974641,0.034818443313483466,0.7242891566265061,0.06466624789920168,0.7050000000000054,0.6260000000000012,0.9849999999999994,0.004501528438622513,0.01209866983383668,0.002038552635665297,0.018738979569185243
04_04_NB,04,04,Stress,0.022501941014001457,0.02236725454685329,0.7143571428571428,0.04567526236199126,0.7009999999999996,0.6430000000000007,0.8419999999999987,0.0009107722312960625,0.0014134493054029978,0.0003836200301245229,0.0027702267336136037
04_05_NB,04,05,Stress,0.029623744953335193,0.029416596808612406,0.7054642857142858,0.07053578059068603,0.6994999999999998,0.5809999999999995,0.8599999999999994,0.006080898933454571,0.006586746807042477,0.0005825929492941819,0.013333405475048047
