Id,userId,paintingId,mode,IBI_RMSSD,IBI_SDSD,IBI_Mean,IBI_RRstd,IBI_Median,IBI_Min,IBI_Max,IBI_VLF_Pow,IBI_LF_Pow,IBI_HF_Pow,IBI_Total_Pow
01_01_NB,01,01,Stress,0.004853967504357345,0.005002337455114601,-0.01399715909090904,-0.0038664514349064996,-0.005000000000002558,-0.053000000000000824,-0.045999999999999375,0.00014691772302417177,-0.00019801793438389305,0.00034135818954325755,0.00031477466692917105
01_02_NB,01,02,Stress,0.005671752063083364,0.005508260370235579,-0.05247871376811586,0.013930550457846275,-0.04700000000000415,-0.12600000000000122,-0.047999999999998266,0.0007321029126386088,-0.0001538144934464862,-0.0003076882107810872,0.0002780126731047046
01_03_NB,01,03,Stress,-0.002671974180371031,-0.0027544945300136507,-0.0193607954545455,-0.005162824310630025,-0.01150000000000162,-0.016999999999995907,-0.04499999999999993,0.00041128825869591115,-0.0006478159532322965,-0.00040242576623082996,-0.0006746090311589518
01_04_NB,01,04,Stress,0.0062117553814507835,0.0060532713462140494,-0.054141544117647156,0.0026507273322169053,-0.05000000000000426,-0.08899999999999864,-0.015000000000000568,3.5240821987065675e-05,0.0006206610267900064,7.282046010321304e-05,0.0007678048292768503
01_05_NB,01,05,Stress,0.01607186784875148,0.015867152172550428,-0.07321784420289856,0.033073551805172706,-0.06200000000000472,-0.1910000000000025,0.07099999999999795,9.036733063058069e-05,0.0028450755512152304,-1.0982492379124978e-05,0.0029442129963391226
02_01_NB,02,01,Stress,-0.0020542979457747433,-0.0024220050183997553,-0.008148344974187816,-0.00883867402150336,-0.005999999999996675,0.03300000000001546,-0.004000000000000448,-4.341186073497953e-05,-0.00023530861806896498,9.867190068885425e-05,-0.00016438963245754556
02_02_NB,02,02,Stress,-0.0018277336150653231,-0.002296467869432866,0.005481606895490154,-0.009938705943746254,-0.0029999999999983373,0.06600000000001316,-0.00399999999999423,0.0004795610464623342,-0.0002308364255315553,0.00013136684812383638,0.0003917563832559062
02_03_NB,02,03,Stress,-0.0038267789566613364,-0.004102325233121418,-0.011202399028241938,-0.017352893524456705,-0.008499999999997954,0.05000000000001137,-0.05400000000000027,-0.00012321580846275714,-9.856949725304837e-07,4.3601047279382196e-05,-7.249103989871654e-05
02_04_NB,02,04,Stress,-0.002071960366365252,-0.002436514414319437,-0.005559488994920869,-0.014114416151521564,-0.0019999999999984475,0.05800000000001404,-0.036000000000001364,-0.0001725356584720855,-3.7739418444405386e-05,0.0001438619738769129,-4.761621249753313e-05
02_05_NB,02,05,Stress,-0.002789902080312965,-0.0032472192477180986,-0.024788164794007583,-0.007812608631101045,-0.018000000000000682,0.014000000000010004,-0.04400000000000048,0.0005967982122698216,0.0008254639926181204,-5.4243530214810387e-05,0.0013811011499914494
03_01_NB,03,01,Stress,-0.02389424166369858,-0.024000897977282706,-0.030683549783549813,-0.026400586605387216,-0.05099999999999838,0.02099999999999369,-0.08699999999999974,-0.0004824579342032195,-0.0007477601411779154,-0.005223537295064758,-0.00661993300016981
03_02_NB,03,02,Stress,-0.016199022467518205,-0.015421991924747129,-0.029426406926406856,-0.01936120804159161,-0.040499999999997094,0.027999999999996028,-0.0990000000000002,7.736326244082525e-05,-0.0012823325076372813,-0.005337438873939809,-0.006611294566611574
03_03_NB,03,03,Stress,-0.020208457110246415,-0.020441388798158405,-0.0369093043107126,-0.019632802301186615,-0.052499999999999325,0.02599999999999625,-0.06599999999999895,-0.0005468328195459521,-5.504430581270824e-05,-0.004870636644680015,-0.005619137035809495
03_04_NB,03,04,Stress,-0.01862282413469689,-0.018645746910264355,-0.04986489898989899,-0.02184999793601078,-0.06499999999999861,0.000999999999995893,-0.10099999999999909,-0.0007285210988112213,-0.0006598996116934709,-0.005441310335355169,-0.006966913427395754
03_05_NB,03,05,Stress,-0.027613630449227683,-0.02737605453495883,-0.08360253217102531,-0.03004267184998327,-0.10249999999999648,-0.0010000000000047748,-0.17000000000000037,-0.0003672781111173836,-0.001713815691423692,-0.0057256888853306,-0.007967128828017044
04_01_NB,04,01,Stress,-0.005036836862004547,-0.005121161682494515,0.04037599109751011,-0.015109151093454516,0.05500000000000149,0.055999999999997385,-0.03700000000000614,8.622939968638745e-06,0.000529822433038828,-0.0002891374093738065,0.0002428937088589699
04_02_NB,04,02,Stress,-0.0015263319660806206,-0.0014547311014122058,-0.021655507283414255,-0.010402166551746236,-0.020500000000000185,-0.019000000000001904,-0.10500000000000398,-0.001300035829598381,0.0034336024768931456,-0.0003777284944795041,0.0017385702137208145
04_03_NB,04,03,Stress,0.005350822817792311,0.005231988810423742,0.0035638819012313583,0.0032374602292918123,7.105427357601002e-15,0.004000000000001336,0.06299999999999528,0.003074964745632027,0.010533712271999833,0.0012697949680495965,0.014905206430710107
04_04_NB,04,04,Stress,-0.007158732537952642,-0.0072191999562064325,-0.006368131868131899,-0.01575352530791861,-0.003999999999998671,0.021000000000000796,-0.0800000000000054,-0.0005157914616944235,-0.00015150825643384883,-0.0003851376374911778,-0.0010635464048615317
04_05_NB,04,05,Stress,-3.692859861890649e-05,-0.00016985769444731805,-0.015260989010988935,0.009106992920776165,-0.005499999999998506,-0.04100000000000037,-0.06200000000000472,0.004654335240464085,0.005021789245205631,-0.00018616471832151875,0.009499632336572913
